conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1961553501445919132,Fri Aug 29 22:16:13 +0000 2025,0,Ngapain iri sama gaji DPR 100 juta? ‍️ Itu duit haram hasil ngehisap pajak rakyat. Nominalnya segede gunung pun kalau haram ya habisnya cepet ga berkah ga tenang sampai tujuh turunan. Yang bikin kita ngamuk: kenapa uang rakyat dipake buat ngasih makan para tikus berdasi?!,1961553501445919132,,,in,,0,0,0,https://x.com/undefined/status/1961553501445919132,1777733239345754113,
1961553213649555910,Fri Aug 29 22:15:04 +0000 2025,0,#DPR tidak bisa dibubarkan tanpa amandemen UU. Tapi kita bisa tuntut agar gaji anggota diturunkan dan tunjangan yang tidak perlu harus dibatalkan. Dengan demikian para tikus itu jadi tidak tertarik dengan posisi itu karena tidak ada lagi benefit dan dengan sendirinya mundur.,1961553213649555910,,,in,,0,0,0,https://x.com/undefined/status/1961553213649555910,325995610,
1960678388584292516,Fri Aug 29 22:15:01 +0000 2025,0,@alponcogarcia @puanmaharani_ri @prabowo Puan itu goblok. Harusnya terimakasih itu pada rakyat. Naikan gaji itu ke guru atau pegawai kecil agar ekonomi bawah berputar buat ke warung buat nglarisi umkm. Kalo yang naik DPR duit hanya untuk belanja ke luar negeri. SBY gaungkan kenaikan gaji PNS. SBY lebih cerdas dari PUAN,1961553199745405019,,alponcogarcia,in,,0,0,0,https://x.com/undefined/status/1961553199745405019,1400286995541155843,
1961553187326103839,Fri Aug 29 22:14:58 +0000 2025,0,Gedung DPR Kota Makassar di Bakar @prabowo harus segera Turun tangan terdapat permasalahan negeri ini Kenaikan gaji DPR Para menteri Rangkap Jabatan dan terindikasi Korupsi segera di bersihkan Undang² Pera pasan Asset Koruptor Pajak² mencetak Rakyat mereka malah Naik Gaji. https://t.co/WROvwXcSTI,1961553187326103839,https://pbs.twimg.com/ext_tw_video_thumb/1961553146964303872/pu/img/LxfdXmhy6T24V0Jb.jpg,,in,,0,0,0,https://x.com/undefined/status/1961553187326103839,54549619,
1961439124369621093,Fri Aug 29 22:13:26 +0000 2025,0,@Dahnilanzar @prabowo Bagaimana rakyat bisa tersenyum dan gembira dengan beban pajak yang berat daya beli rendah sementara Orang-orang yang mengaku wakil rakyat menaikan gaji tunjungan dan kehidupan mewah.,1961552800967717322,,Dahnilanzar,in,,0,0,0,https://x.com/undefined/status/1961552800967717322,922351237651079168,
1961372410864963591,Fri Aug 29 22:12:54 +0000 2025,0,@bangherwin Bener bang pdhl yg buat uu gaji DPR presiden sblmnya aka bapaknya https://t.co/PxDSOb3gC0,1961552666255090148,,bangherwin,in,,0,0,0,https://x.com/undefined/status/1961552666255090148,1146912313514921984,
1961550595481112806,Fri Aug 29 22:11:42 +0000 2025,2,@Bambangmulyonoo Siapa sih yg naikin gaji DPR babik bgt psti ulah periode sblmnya skg cuci tangan https://t.co/PxDSOb3gC0,1961552365187993804,,Bambangmulyonoo,in,,0,0,1,https://x.com/undefined/status/1961552365187993804,1146912313514921984,
1960678388584292516,Fri Aug 29 22:10:39 +0000 2025,0,@puanmaharani_ri @prabowo Terimakasih itu pada rakyat. Coba angkat opini naikkan gaji guru dan pegawai kecil agar ekonomi dibawah berputar. warung umkm bakal hidup. Naikkan gaji DPR hanya dihambur-hamburkan untuk belanja ke luar negeri. opini ini sudah dipakai SBY. PDI jangan goblok goblok amat,1961552100443525261,,puanmaharani_ri,in,,0,0,0,https://x.com/undefined/status/1961552100443525261,1400286995541155843,
1961396385267540376,Fri Aug 29 22:09:54 +0000 2025,0,@NarasiNewsroom Bu lu bukan belum sepenuhnya menjalankan tugas sebagai wakil rakyat TAPI TIDAK MELAKUKAN SAMA SEKALI KEWAJIBAN LU SEBAGAI WAKIL RAKYAT. LU ITU CUMA MAKAN GAJI BUTA. Wakil rakyat kelakuan kek setan,1961551911842382108,,NarasiNewsroom,in,,0,0,0,https://x.com/undefined/status/1961551911842382108,1111336494,
1961551436267061493,Fri Aug 29 22:08:00 +0000 2025,1,Presiden punya misi naikin gaji pejabat. DPR naik gaji dapat kritik. Bukannya menjawab malah ngeledek. Satroni bilangin orang tolol Eko nge-DJ Puan undang rakyat. Pas rakyat datang malah kabur semua. Jelas chaos. Makanya congor dijaga ya anjing!,1961551436267061493,,,in,,0,0,0,https://x.com/undefined/status/1961551436267061493,1327012516971495424,
